product_name,rating,review,manufacturer,chipset,distributor,sentiment,tokens,predicted,confidence
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,하이마트에는 카드할인이 있어서 하이마트에는 카드할인이 있어서 참좋아요 그래서 구매했습니다그래픽카드 장착 작동 잘되고 에이징 과부하시 온도 정상좋습니다풍절음 소음 조용하고 좋네요벤투스가 현역 3060에 메모리 12기가중에는 종합적인 성능및 쿨러 냉각은개인적으로 제일 좋은듯 합니다포장도 항상 에어 포장 신경써주셔서 판매자님 감사합니다,MSI,RTX 3060,Official,positive,하이마트 에는 카드 할인 이 있어서 하이마트 에는 카드 할인 이 있어서 참 좋아요 그래서 구매 했습니다 그래픽카드 장착 작동 잘 되고 에이 징 과부 하시 온도 정상 좋습니다 풍 절음 소음 조용하고 좋네요 벤 투스 가 현역 3060 에 메모리 12 기 가중 에는 종합 적 인 성능 및 쿨러 냉각 은 개인 적 으로 제일 좋은 듯 합니다 포장 도 항상 에어 포장 신경 써주셔서 판매 자 님 감사합니다,positive,0.9999996423721313
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,4.0,원래가격은 좀 있지만 하이마트 원래가격은 좀 있지만 하이마트 카드별 할인정책 콜라보가 있어서 좋습니다품질은 msi 코리아 정품박스 포장이라 나무랄데가 없습니다트윈쿨러라 냉각도 좋고 메이커제품의 지포스칩의 그래픽카드라 든든하고 튼튼합니다쿨링도 잘되지만 정숙합니다 as기간도 정품이라 cs이노베이션에서 무상 3년이라 마음에 듭니다 그래도고장없이 오래 오래 사용하면 더 좋겠지요,MSI,RTX 3060,Official,neutral,원래 가격 은 좀 있지만 하이마트 원래 가격 은 좀 있지만 하이마트 카드 별 할인 정책 콜라보 가 있어서 좋습니다 품질 은 msi 코리아 정품 박스 포장 이라 나무랄데가 없습니다 트윈 쿨러 라 냉각 도 좋고 메이커 제품 의 지포스 칩 의 그래픽카드 라 든든하고 튼튼합니다 쿨링 도 잘되지 만 정숙 합니다 as 기간 도 정품 이라 cs 이노베이션 에서 무상 3년 이라 마음 에 듭니 다 그래도 고장 없이 오래 오래 사용 하면 더 좋겠지요,neutral,0.999985933303833
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,감사합니다~ 잘 받았습니다. 상태 양호하고 정품이고 설치 후 성능도 좋아요~ 램이 12GB이나 해서 CPU 발열 부담이 적어 조용합니다~ 알지 컴퍼니 적극 추천합니다~ 감사히 잘쓸께요^^,MSI,RTX 3060,Official,positive,감사합니다 ~ 잘 받았습니다 . 상태 양호 하고 정품 이고 설치 후 성능 도 좋아요 ~ 램 이 12 GB 이나 해서 CPU 발열 부담 이 적어 조용합니다 ~ 알 지 컴퍼니 적극 추천 합니다 ~ 감사히 잘쓸께요 ^^,positive,0.9999994039535522
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,상태 양호 배송 빠름 배송도 빠르고 물건 상태도 양호하고 잘 돌라가서 대만족!,MSI,RTX 3060,Official,positive,상태 양호 배송 빠름 배송 도 빠르고 물건 상태 도 양호 하고 잘 돌라가서 대 만족 !,positive,0.9999995231628418
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,하이마트의 할인카드 행사가 있어 하이마트의 할인카드 행사가 있어서 구매했는데 마음에 듭니다 배송은 빠르게 다음날 도착했습니다 감사합니다 잘 사용할게요Mis 벤투스 11gb라 좋습니다,MSI,RTX 3060,Official,positive,하이마트 의 할인 카드 행사 가 있어 하이마트 의 할인 카드 행사 가 있어서 구매 했는데 마음 에 듭니 다 배송 은 빠르게 다음 날 도착 했습니다 감사합니다 잘 사용 할게요 Mis 벤투스 11 gb 라 좋습니다,positive,0.9999995231628418
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,가격도 제일저렴 배송도빠르고 매 가격도 제일저렴 배송도빠르고 매우만족합니다.,MSI,RTX 3060,Official,positive,가격 도 제 일 저렴 배송 도 빠르고 매 가격 도 제 일 저렴 배송 도 빠르고 매우 만족합니다 .,positive,0.9999998807907104
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,영상편집용으로 사용하기 위해 주 영상편집용으로 사용하기 위해 주문했습니다.어도비 사용하려면 3060으로 충분하다고 유튜브영상에서 확인하고 구매했습니다.,MSI,RTX 3060,Official,positive,영상편집 용 으로 사용 하기 위해 주 영상편집 용 으로 사용 하기 위해 주문 했습니다 . 어도비 사용 하려면 3060 으로 충분하다고 유튜브 영상 에서 확인 하고 구매 했습니다 .,positive,0.9999995231628418
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,4.0,상품이 괞찮습니다. 소음없고 깔끔합니다. 상품이 괞찮습니다. 소음없고 깔끔합니다.,MSI,RTX 3060,Official,neutral,상품 이 괞찮습니 다 . 소음 없고 깔끔합니다 . 상품 이 괞찮습니 다 . 소음 없고 깔끔합니다 .,neutral,0.9999643564224243
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,4.0,RTX3060 12G 가성비 그래픽카드 작업용 가성비 추천합니다,MSI,RTX 3060,Official,neutral,RTX 3060 12 G 가성 비 그래픽카드 작업 용 가성 비 추천 합니다,neutral,0.9999759197235107
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,저렴한 가격으로 아주 잘 쓰고 있 저렴한 가격으로 아주 잘 쓰고 있습니다,MSI,RTX 3060,Official,positive,저렴한 가격 으로 아주 잘 쓰고 있 저렴한 가격 으로 아주 잘 쓰고 있습니다,positive,0.9999983310699463
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,가격 저렴하고 배송 빨라서 좋았 가격 저렴하고 배송 빨라서 좋았어요,MSI,RTX 3060,Official,positive,가격 저렴하고 배송 빨 라서 좋았 가격 저렴하고 배송 빨 라서 좋았어요,positive,0.9999992847442627
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,가격도 저렴하고 배송도 빠름니다 가격도 저렴하고 배송도 빠름니다.,MSI,RTX 3060,Official,positive,가격 도 저렴하고 배송 도 빠름니다 가격 도 저렴하고 배송 도 빠름니다 .,positive,0.9999996423721313
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,가격도 저렴하고 배송도 빠름니다 가격도 저렴하고 배송도 빠름니다.,MSI,RTX 3060,Official,positive,가격 도 저렴하고 배송 도 빠름니다 가격 도 저렴하고 배송 도 빠름니다 .,positive,0.9999996423721313
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,4.0,저렴하고 가성비 좋아요 저렴하고 가성비 좋아요,MSI,RTX 3060,Official,neutral,저렴하고 가성 비 좋아요 저렴하고 가성 비 좋아요,positive,0.9959115982055664
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,새 제품 잘 포장되어 왔습니다. 이 새 제품 잘 포장되어 왔습니다. 이상없이 잘 동작합니다.,MSI,RTX 3060,Official,positive,새 제품 잘 포장 되어 왔습니다 . 이 새 제품 잘 포장 되어 왔습니다 . 이상 없이 잘 동작 합니다 .,positive,0.999995231628418
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,빠른 배송 안전한 포장 좋아요 빠른 배송 안전한 포장 좋아요,MSI,RTX 3060,Official,positive,빠른 배송 안전한 포장 좋아요 빠른 배송 안전한 포장 좋아요,positive,0.9999997615814209
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,빠른 배송 안전한 포장 좋아요 빠른 배송 안전한 포장 좋아요,MSI,RTX 3060,Official,positive,빠른 배송 안전한 포장 좋아요 빠른 배송 안전한 포장 좋아요,positive,0.9999997615814209
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,빠른 배송 안전한 포장 좋아요 빠른 배송 안전한 포장 좋아요,MSI,RTX 3060,Official,positive,빠른 배송 안전한 포장 좋아요 빠른 배송 안전한 포장 좋아요,positive,0.9999997615814209
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,5.0,착한 가격에 잘 샀어요. 기대되요. 착한 가격에 잘 샀어요. 기대되요.,MSI,RTX 3060,Official,positive,착한 가격 에 잘 샀어요 . 기대되 요 . 착한 가격 에 잘 샀어요 . 기대되 요 .,positive,0.9999990463256836
